year,teamId,team,classification,conference,division,expectedWins,total.games,total.wins,total.losses,total.ties,conferenceGames.games,conferenceGames.wins,conferenceGames.losses,conferenceGames.ties,homeGames.games,homeGames.wins,homeGames.losses,homeGames.ties,awayGames.games,awayGames.wins,awayGames.losses,awayGames.ties,neutralSiteGames.games,neutralSiteGames.wins,neutralSiteGames.losses,neutralSiteGames.ties,regularSeason.games,regularSeason.wins,regularSeason.losses,regularSeason.ties,postseason.games,postseason.wins,postseason.losses,postseason.ties
2025,2837,East Texas A&M,fcs,Southland,,4.166896496899426,12,3,9,0,7,3,4,0,5,1,4,0,7,2,5,0,0,0,0,0,12,3,9,0,0,0,0,0
2025,2221,FDU-Florham,iii,Mid Atlantic,,,10,1,9,0,9,1,8,0,5,1,4,0,5,0,5,0,0,0,0,0,10,1,9,0,0,0,0,0
2025,2617,Stephen F. Austin,fcs,Southland,,10.161095704883337,14,11,3,0,7,7,0,0,7,7,0,0,7,4,3,0,0,0,0,0,14,11,3,0,0,0,0,0
2025,282,Indiana State,fcs,MVFC,,2.3081507831811905,12,3,9,0,8,1,7,0,6,2,4,0,6,1,5,0,0,0,0,0,12,3,9,0,0,0,0,0
2025,248,Houston,fbs,Big 12,,7.08340787794441,13,10,3,0,9,6,3,0,6,3,3,0,6,6,0,0,1,1,0,0,12,9,3,0,1,1,0,0
2025,2119,Central State (OH),ii,SIAC,,0.08401387929916382,10,3,7,0,8,3,5,0,5,1,4,0,4,2,2,0,1,0,1,0,10,3,7,0,0,0,0,0
2025,2062,Bethany (WV),iii,Presidents',,,10,1,9,0,7,1,6,0,5,0,5,0,5,1,4,0,0,0,0,0,10,1,9,0,0,0,0,0
2025,81,Springfield,iii,NEWMAC,,,12,9,3,0,7,7,0,0,6,6,0,0,6,3,3,0,0,0,0,0,11,8,3,0,1,1,0,0
2025,2844,Wayne State (NE),ii,Northern Sun,,,11,7,4,0,10,7,3,0,6,4,2,0,5,3,2,0,0,0,0,0,11,7,4,0,0,0,0,0
2025,2453,North Alabama,fcs,UAC,,3.474929854273796,12,2,10,0,8,1,7,0,5,2,3,0,7,0,7,0,0,0,0,0,12,2,10,0,0,0,0,0
